Time,X,V,KE,PE
2.793e-06,0.01512660457227536,1315185.5394015787,4.912730439377121,11.447730123845567
2.7940000000000003e-06,0.0165529209510875,1426316.3788121385,5.778041059131312,10.59325143291589
2.7950000000000003e-06,0.018085822935486582,1532901.9843990824,6.673868693305014,9.722789827940794
2.796e-06,0.01972042563594089,1634602.7004543075,7.588803524914445,8.791060271913153
2.797e-06,0.021451520073858685,1731094.4379177939,8.511192375845287,7.854067411043949
2.798e-06,0.02327358978100895,1822069.7071502628,9.429287128964814,6.96969087764862
2.7990000000000002e-06,0.025180828378817507,1907238.59780856,10.331394359436308,6.041472361405901
2.8000000000000003e-06,0.02716715808151871,1986329.702701202,11.206024269438423,5.178626147102715
2.8010000000000004e-06,0.02922624906419875,2059090.9826800409,12.042037029364462,4.354800222783126
2.802e-06,0.031351539634010654,2125290.5698119015,12.828784661609149,3.5288231290717427
2.803e-06,0.033536257140281384,2184717.506270729,13.556246659822945,2.8461616804108587
2.804e-06,0.03577343955687701,2237182.416595623,14.215157616302793,2.145777701102624
2.8050000000000002e-06,0.038055957668049485,2282518.111172481,14.7971252319777,1.6031995512477195
2.8060000000000003e-06,0.04037653778706562,2320580.1190161356,15.294737205940626,1.0824253023238413
2.807e-06,0.042727784935220794,2351247.148155173,15.701655643115258,0.6943591101227575
2.808e-06,0.04510220640737312,2374421.4721523286,16.012697777623,0.3735743164900214
2.809e-06,0.04749223564890186,2390029.2415287388,16.2239019837073,0.1675664382181843
2.81e-06,0.049890256368001484,2398020.719099628,16.332578233459106,0.05922666368532248
2.8110000000000003e-06,0.05228862680647298,2398370.4384714975,16.337342358682605,0.04930184810039862
2.8120000000000004e-06,0.05467970409166871,2391077.2851957297,16.23813368052083,0.1576732499833824
2.813e-06,0.057055868591988704,2376164.500319992,16.036215782299227,0.34408421352624424
2.814e-06,0.059409548198314836,2353679.606326133,15.734160415743888,0.6651524448333248
2.815e-06,0.06173324245400541,2323694.2556905732,15.335814745554694,1.034375044139633
2.8160000000000002e-06,0.0640195464565552,2286304.0025497903,14.846252349526917,1.5559299318303912
2.8170000000000003e-06,0.06626117445475374,2241627.998198528,14.271708598314172,2.080904015528521
2.8180000000000004e-06,0.06845098306614482,2189808.6113910805,13.619501237876108,2.7827985090304708
2.819e-06,0.07058199404080046,2131010.974655641,12.89793718612214,3.4671723909221157
2.82e-06,0.07264741649886793,2065422.458067466,12.116206730847075,4.277989281934175
2.821e-06,0.0746406685710257,1993252.0721577862,11.284266476519322,5.104514273131745
